1014,#genre#
TVBS HD,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv073/index.m3u8
TVBS台劇台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-live088/index.m3u8
TVBS新聞台,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv072/index.m3u8
TVBS精采台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv067/index.m3u8
TVBS精采台,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv067/index.m3u8
TVBS綜藝台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-live087/index.m3u8
TVBS歡樂台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv068/index.m3u8
TVBS歡樂台,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv068/index.m3u8
VOA 美國之音,http://hilarious-merrile-bbb63fe.koyeb.app/li-litv-ftv03/index.m3u8
VOA 美國之音,http://hilarious-merrile-bbb63fe.koyeb.app/litv-ftv03/index.m3u8
人間衛視,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-live008/index.m3u8
八大精彩,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv034/index.m3u8
八大精彩,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv034/index.m3u8
八大綜藝,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv039/index.m3u8
八大綜藝,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv039/index.m3u8
三立iNEWS,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-live089/index.m3u8
三立iNEWS,http://hilarious-merrile-bbb63fe.koyeb.app/iNEWS/index.m3u8
三立綜合合,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-live207/index.m3u8
大愛二台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-live106/index.m3u8
大愛電視,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-live007/index.m3u8
中天亞洲台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv109/index.m3u8
中天新聞台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv009/index.m3u8
中天新聞台,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv009/index.m3u8
中天新聞台,http://hilarious-merrile-bbb63fe.koyeb.app/of-4gtv-4gtv009/index.m3u8
中視,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv040/index.m3u8
中視,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv040/index.m3u8
中視,http://hilarious-merrile-bbb63fe.koyeb.app/of-4gtv-4gtv040/index.m3u8
中視菁采台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv064/index.m3u8
中視菁采台,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv064/index.m3u8
中視新聞台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv074/index.m3u8
中視新聞台,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv074/index.m3u8
中視新聞台,http://hilarious-merrile-bbb63fe.koyeb.app/of-4gtv-4gtv074/index.m3u8
中視經典台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv080/index.m3u8
中視經典台,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv080/index.m3u8
公視戲劇,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv042/index.m3u8
公視戲劇,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv042/index.m3u8
半島國際新聞台,http://hilarious-merrile-bbb63fe.koyeb.app/li-litv-ftv10/index.m3u8
半島國際新聞台,http://hilarious-merrile-bbb63fe.koyeb.app/litv-ftv10/index.m3u8
台視HD,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv066/index.m3u8
台視HD,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv066/index.m3u8
台視財經台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv056/index.m3u8
台視新聞台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv051/index.m3u8
台視新聞台,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv051/index.m3u8
台灣戲劇台,http://hilarious-merrile-bbb63fe.koyeb.app/li-litv-longturn22/index.m3u8
台灣戲劇台,http://hilarious-merrile-bbb63fe.koyeb.app/litv-longturn22/index.m3u8
民視HD,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv002/index.m3u8
民視台灣台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv001/index.m3u8
民視台灣台,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv001/index.m3u8
民視旅遊,http://hilarious-merrile-bbb63fe.koyeb.app/li-litv-ftv07/index.m3u8
民視旅遊,http://hilarious-merrile-bbb63fe.koyeb.app/litv-ftv07/index.m3u8
民視第一台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv003/index.m3u8
民視第一台,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv003/index.m3u8
民視新聞,http://hilarious-merrile-bbb63fe.koyeb.app/li-litv-ftv13/index.m3u8
民視新聞,http://hilarious-merrile-bbb63fe.koyeb.app/litv-ftv13/index.m3u8
民視綜藝,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv004/index.m3u8
民視綜藝,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv004/index.m3u8
民視影劇,http://hilarious-merrile-bbb63fe.koyeb.app/li-litv-ftv09/index.m3u8
民視影劇,http://hilarious-merrile-bbb63fe.koyeb.app/litv-ftv09/index.m3u8
好消息,http://hilarious-merrile-bbb63fe.koyeb.app/li-litv-ftv16/index.m3u8
好消息,http://hilarious-merrile-bbb63fe.koyeb.app/litv-ftv16/index.m3u8
好消息,http://hilarious-merrile-bbb63fe.koyeb.app/of-litv-ftv16/index.m3u8
好消息2台,http://hilarious-merrile-bbb63fe.koyeb.app/li-litv-ftv17/index.m3u8
好消息2台,http://hilarious-merrile-bbb63fe.koyeb.app/litv-ftv17/index.m3u8
好消息2台,http://hilarious-merrile-bbb63fe.koyeb.app/of-litv-ftv17/index.m3u8
車迷 TV,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-live201/index.m3u8
亞洲旅遊,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv076/index.m3u8
亞洲旅遊,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv076/index.m3u8
亞洲旅遊,http://hilarious-merrile-bbb63fe.koyeb.app/of-4gtv-4gtv076/index.m3u8
幸福空間居家台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-live206/index.m3u8
東森財經新聞,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv153/index.m3u8
東森財經新聞,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv153/index.m3u8
東森新聞,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv152/index.m3u8
東森新聞,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv152/index.m3u8
東森購物一台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv102/index.m3u8
東森購物一台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-live047/index.m3u8
東森購物一台,http://hilarious-merrile-bbb63fe.koyeb.app/of-4gtv-4gtv102/index.m3u8
東森購物二台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv103/index.m3u8
東森購物二台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-live046/index.m3u8
東森購物二台,http://hilarious-merrile-bbb63fe.koyeb.app/of-4gtv-4gtv103/index.m3u8
東森購物三台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-live048/index.m3u8
東森購物四台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-live049/index.m3u8
采昌影劇,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv049/index.m3u8
采昌影劇,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv049/index.m3u8
金光布袋戲,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-live144/index.m3u8
非凡商業,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv048/index.m3u8
非凡新聞,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv010/index.m3u8
客家電視,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv043/index.m3u8
客家電視,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv043/index.m3u8
原住民族電視台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-live014/index.m3u8
時尚運動X,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv014/index.m3u8
時尚運動X,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv014/index.m3u8
國會頻道1,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv084/index.m3u8
國會頻道1,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv084/index.m3u8
國會頻道1,http://hilarious-merrile-bbb63fe.koyeb.app/of-4gtv-4gtv084/index.m3u8
國會頻道2,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv085/index.m3u8
國會頻道2,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv085/index.m3u8
國會頻道2,http://hilarious-merrile-bbb63fe.koyeb.app/of-4gtv-4gtv085/index.m3u8
第1商業台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv104/index.m3u8
第1商業台,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv104/index.m3u8
博斯高球I,http://hilarious-merrile-bbb63fe.koyeb.app/litv-longturn05/index.m3u8
博斯高球II,http://hilarious-merrile-bbb63fe.koyeb.app/litv-longturn06/index.m3u8
博斯無限I,http://hilarious-merrile-bbb63fe.koyeb.app/litv-longturn10/index.m3u8
博斯無限II,http://hilarious-merrile-bbb63fe.koyeb.app/litv-longturn13/index.m3u8
博斯運動I,http://hilarious-merrile-bbb63fe.koyeb.app/litv-longturn07/index.m3u8
博斯運動II,http://hilarious-merrile-bbb63fe.koyeb.app/litv-longturn08/index.m3u8
博斯網球,http://hilarious-merrile-bbb63fe.koyeb.app/litv-longturn09/index.m3u8
博斯魅力,http://hilarious-merrile-bbb63fe.koyeb.app/litv-longturn04/index.m3u8
智林體育,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv101/index.m3u8
智林體育,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv101/index.m3u8
華視,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv041/index.m3u8
華視,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv041/index.m3u8
華視,http://hilarious-merrile-bbb63fe.koyeb.app/of-4gtv-4gtv041/index.m3u8
華視新聞台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv052/index.m3u8
華視新聞台,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv052/index.m3u8
華視新聞台,http://hilarious-merrile-bbb63fe.koyeb.app/of-4gtv-4gtv052/index.m3u8
視納華仁紀實頻道,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv013/index.m3u8
視納華仁紀實頻道,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv013/index.m3u8
新唐人亞太台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-live050/index.m3u8
經典卡通台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-live022/index.m3u8
經典電影台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-live021/index.m3u8
達文西,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv018/index.m3u8
達文西,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv018/index.m3u8
電影原聲台 CMusic,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-live031/index.m3u8
靖天日本,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv047/index.m3u8
靖天日本,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv047/index.m3u8
靖天卡通,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv044/index.m3u8
靖天卡通,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv044/index.m3u8
靖天育樂,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv062/index.m3u8
靖天育樂,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv062/index.m3u8
靖天映畫,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv055/index.m3u8
靖天映畫,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv055/index.m3u8
靖天國際,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv063/index.m3u8
靖天國際,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv063/index.m3u8
靖天資訊,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv065/index.m3u8
靖天資訊,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv065/index.m3u8
靖天電影,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv061/index.m3u8
靖天電影,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv061/index.m3u8
靖天綜合,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv046/index.m3u8
靖天綜合,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv046/index.m3u8
靖天戲劇,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv058/index.m3u8
靖天戲劇,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv058/index.m3u8
靖天歡樂,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv054/index.m3u8
靖天歡樂,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv054/index.m3u8
靖洋卡通,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv057/index.m3u8
靖洋卡通,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv057/index.m3u8
靖洋戲劇,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv045/index.m3u8
靖洋戲劇,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv045/index.m3u8
滾動力 Rollor,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-live012/index.m3u8
精選動漫台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-live024/index.m3u8
影迷數位紀實台,http://hilarious-merrile-bbb63fe.koyeb.app/li-litv-ftv15/index.m3u8
影迷數位紀實台,http://hilarious-merrile-bbb63fe.koyeb.app/litv-ftv15/index.m3u8
影迷數位電影台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv011/index.m3u8
影迷數位電影台,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv011/index.m3u8
歐洲光影,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-live157/index.m3u8
豬哥亮歌廳秀,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv006/index.m3u8
豬哥亮歌廳秀,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv006/index.m3u8
寰宇財經,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv158/index.m3u8
寰宇財經,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv158/index.m3u8
寰宇財經,http://hilarious-merrile-bbb63fe.koyeb.app/of-4gtv-4gtv158/index.m3u8
寰宇新聞,http://hilarious-merrile-bbb63fe.koyeb.app/li-litv-longturn14/index.m3u8
寰宇新聞,http://hilarious-merrile-bbb63fe.koyeb.app/litv-longturn14/index.m3u8
寰宇新聞,http://hilarious-merrile-bbb63fe.koyeb.app/of-litv-longturn14/index.m3u8
寰宇新聞台灣台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv156/index.m3u8
寰宇新聞台灣台,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv156/index.m3u8
寰宇新聞台灣台,http://hilarious-merrile-bbb63fe.koyeb.app/of-4gtv-4gtv156/index.m3u8
歷史頻道,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-live026/index.m3u8
龍華日韓,http://hilarious-merrile-bbb63fe.koyeb.app/li-litv-longturn11/index.m3u8
龍華日韓,http://hilarious-merrile-bbb63fe.koyeb.app/litv-longturn11/index.m3u8
龍華卡通,http://hilarious-merrile-bbb63fe.koyeb.app/li-litv-longturn01/index.m3u8
龍華卡通,http://hilarious-merrile-bbb63fe.koyeb.app/litv-longturn01/index.m3u8
龍華洋片,http://hilarious-merrile-bbb63fe.koyeb.app/li-litv-longturn02/index.m3u8
龍華洋片,http://hilarious-merrile-bbb63fe.koyeb.app/litv-longturn02/index.m3u8
龍華偶像,http://hilarious-merrile-bbb63fe.koyeb.app/li-litv-longturn12/index.m3u8
龍華偶像,http://hilarious-merrile-bbb63fe.koyeb.app/litv-longturn12/index.m3u8
龍華經典,http://hilarious-merrile-bbb63fe.koyeb.app/li-litv-longturn21/index.m3u8
龍華經典,http://hilarious-merrile-bbb63fe.koyeb.app/litv-longturn21/index.m3u8
龍華電影,http://hilarious-merrile-bbb63fe.koyeb.app/li-litv-longturn03/index.m3u8
龍華電影,http://hilarious-merrile-bbb63fe.koyeb.app/litv-longturn03/index.m3u8
龍華戲劇,http://hilarious-merrile-bbb63fe.koyeb.app/li-litv-longturn18/index.m3u8
龍華戲劇,http://hilarious-merrile-bbb63fe.koyeb.app/litv-longturn18/index.m3u8
戲劇免費看1台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-live010/index.m3u8
韓國娛樂台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv016/index.m3u8
韓國娛樂台,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv016/index.m3u8
鏡電視新聞台,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-4gtv075/index.m3u8
鏡電視新聞台,http://hilarious-merrile-bbb63fe.koyeb.app/li-4gtv-4gtv075/index.m3u8
霹靂布袋戲,http://hilarious-merrile-bbb63fe.koyeb.app/4gtv-live145/index.m3u8


倪珍播新聞,http://hilarious-merrile-bbb63fe.koyeb.app/nnews-zh/index.m3u8
倪珍越語新聞,http://hilarious-merrile-bbb63fe.koyeb.app/nnews-vn/index.m3u8
倪珍報氣象,http://hilarious-merrile-bbb63fe.koyeb.app/nnews-wf/index.m3u8
公視金獎台,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii13/index.m3u8
哆啦Ａ夢台,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii22/index.m3u8
新哆啦A夢(中文版),http://hilarious-merrile-bbb63fe.koyeb.app/ofiii23/index.m3u8
TVBS食尚玩家,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii31/index.m3u8
東森娛樂台,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii32/index.m3u8
中天亞洲精采台,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii36/index.m3u8
經典劇場,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii38/index.m3u8
Yes娛樂,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii47/index.m3u8
Focus風采戲劇台,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii1048/index.m3u8
掏掏新聞,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii50/index.m3u8
柯文哲政治風波,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii51/index.m3u8
國際大小事,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii55/index.m3u8
全國大罷免,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii56/index.m3u8
第1財經,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii64/index.m3u8
Golden 強片台,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii70/index.m3u8
周星馳台,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii73/index.m3u8
歐飛電影台,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii74/index.m3u8
歐飛動作電影台,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii75/index.m3u8
Focus探索新知台,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii82/index.m3u8
鄉民大學問,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii83/index.m3u8
野球名人房,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii84/index.m3u8
社會NOW什麼,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii85/index.m3u8
啦啦隊獨家專訪,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii88/index.m3u8
泰可愛旋風,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii89/index.m3u8
演唱會直擊,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii91/index.m3u8
健康問良醫,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii92/index.m3u8
ASMR行車紀錄,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii94/index.m3u8
Freeman ,台灣
饕客揪愛吃,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii96/index.m3u8
人氣動漫預告,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii97/index.m3u8
銀髮聚樂部,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii99/index.m3u8
錦繡安寧,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii100/index.m3u8
琅琊榜,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii101/index.m3u8
扶搖,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii102/index.m3u8
三國,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii103/index.m3u8
武媚娘傳奇,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii104/index.m3u8
長樂曲,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii105/index.m3u8
軍師聯盟,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii106/index.m3u8
軍師聯盟2 虎嘯龍吟,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii107/index.m3u8
東宮(完整版),http://hilarious-merrile-bbb63fe.koyeb.app/ofiii108/index.m3u8
國色芳華,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii109/index.m3u8
楚喬傳,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii110/index.m3u8
倚天屠龍記 2019,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii111/index.m3u8
披荊斬棘的大小姐,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii112/index.m3u8
步步驚心,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii113/index.m3u8
九重紫,http://hilarious-merrile-bbb63fe.koyeb.app/ofiii114/index.m3u8
