台灣頻道,#genre#
TVBS HD,http://230taiwan.pendy.dpdns.org/4gtv-4gtv073/index.m3u8?proxy=true
TVBS HD,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv073/index.m3u8?proxy=true
TVBS台劇台,http://230taiwan.pendy.dpdns.org/4gtv-live088/index.m3u8?proxy=true

TVBS精采台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv067/index.m3u8?proxy=true
TVBS精采台,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv067/index.m3u8?proxy=true
TVBS綜藝台,http://230taiwan.pendy.dpdns.org/4gtv-live087/index.m3u8?proxy=true
TVBS歡樂台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv068/index.m3u8?proxy=true
TVBS歡樂台,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv068/index.m3u8?proxy=true

八大精彩,http://230taiwan.pendy.dpdns.org/4gtv-4gtv034/index.m3u8?proxy=true
八大精彩,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv034/index.m3u8?proxy=true
八大綜藝,http://230taiwan.pendy.dpdns.org/4gtv-4gtv039/index.m3u8?proxy=true
八大綜藝,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv039/index.m3u8?proxy=true
中視菁采台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv064/index.m3u8?proxy=true
中視菁采台,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv064/index.m3u8?proxy=true
中視經典台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv080/index.m3u8?proxy=true
中視經典台,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv080/index.m3u8?proxy=true

民視HD,http://230taiwan.pendy.dpdns.org/4gtv-4gtv002/index.m3u8?proxy=true
民視台灣台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv001/index.m3u8?proxy=true
民視台灣台,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv001/index.m3u8?proxy=true
民視第一台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv003/index.m3u8?proxy=true
民視第一台,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv003/index.m3u8?proxy=true
民視綜藝,http://230taiwan.pendy.dpdns.org/4gtv-4gtv004/index.m3u8?proxy=true
民視綜藝,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv004/index.m3u8?proxy=true
民視影劇,http://230taiwan.pendy.dpdns.org/li-litv-ftv09/index.m3u8?proxy=true
民視影劇,http://230taiwan.pendy.dpdns.org/litv-ftv09/index.m3u8?proxy=true

Arirang TV,http://230taiwan.pendy.dpdns.org/4gtv-4gtv079/index.m3u8?proxy=true
Arirang TV,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv079/index.m3u8?proxy=true
BLOOMBERG TV,http://230taiwan.pendy.dpdns.org/4gtv-live059/index.m3u8?proxy=true
CI 罪案偵查頻道,http://230taiwan.pendy.dpdns.org/4gtv-live027/index.m3u8?proxy=true
Cinema World,http://230taiwan.pendy.dpdns.org/4gtv-live069/index.m3u8?proxy=true
CLASSICA 古典樂,http://230taiwan.pendy.dpdns.org/4gtv-4gtv059/index.m3u8?proxy=true
