4gtv+litv,#genre#
amc 電影台,http://tw-ty-line1-4-7.sudatech.store:21138/li-4gtv-4gtv017/index.m3u8?proxy=true
影迷數位電影台,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-4gtv011/index.m3u8?proxy=true
影迷數位電影台,http://tw-ty-line1-4-7.sudatech.store:21138/li-4gtv-4gtv011/index.m3u8?proxy=true
采昌影劇,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-4gtv049/index.m3u8?proxy=true
采昌影劇,http://tw-ty-line1-4-7.sudatech.store:21138/li-4gtv-4gtv049/index.m3u8?proxy=true
ELTA娛樂,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-4gtv070/index.m3u8?proxy=true
ELTA娛樂,http://tw-ty-line1-4-7.sudatech.store:21138/li-4gtv-4gtv070/index.m3u8?proxy=true

TVBS HD,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-4gtv073/index.m3u8?proxy=true
TVBS HD,http://tw-ty-line1-4-7.sudatech.store:21138/li-4gtv-4gtv073/index.m3u8?proxy=true
TVBS台劇台,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-live088/index.m3u8?proxy=true
TVBS精采台,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-4gtv067/index.m3u8?proxy=true
TVBS精采台,http://tw-ty-line1-4-7.sudatech.store:21138/li-4gtv-4gtv067/index.m3u8?proxy=true
TVBS綜藝台,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-live087/index.m3u8?proxy=true
TVBS歡樂台,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-4gtv068/index.m3u8?proxy=true
TVBS歡樂台,http://tw-ty-line1-4-7.sudatech.store:21138/li-4gtv-4gtv068/index.m3u8?proxy=true
八大精彩,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-4gtv034/index.m3u8?proxy=true
八大精彩,http://tw-ty-line1-4-7.sudatech.store:21138/li-4gtv-4gtv034/index.m3u8?proxy=true
八大綜藝,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-4gtv039/index.m3u8?proxy=true
八大綜藝,http://tw-ty-line1-4-7.sudatech.store:21138/li-4gtv-4gtv039/index.m3u8?proxy=true
三立綜合合,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-live207/index.m3u8?proxy=true
中視菁采台,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-4gtv064/index.m3u8?proxy=true
中視菁采台,http://tw-ty-line1-4-7.sudatech.store:21138/li-4gtv-4gtv064/index.m3u8?proxy=true
中視經典台,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-4gtv080/index.m3u8?proxy=true
中視經典台,http://tw-ty-line1-4-7.sudatech.store:21138/li-4gtv-4gtv080/index.m3u8?proxy=true
台灣戲劇台,http://tw-ty-line1-4-7.sudatech.store:21138/li-litv-longturn22/index.m3u8?proxy=true
台灣戲劇台,http://tw-ty-line1-4-7.sudatech.store:21138/litv-longturn22/index.m3u8?proxy=true
民視台灣台,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-4gtv001/index.m3u8?proxy=true
民視台灣台,http://tw-ty-line1-4-7.sudatech.store:21138/li-4gtv-4gtv001/index.m3u8?proxy=true
民視第一台,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-4gtv003/index.m3u8?proxy=true
民視第一台,http://tw-ty-line1-4-7.sudatech.store:21138/li-4gtv-4gtv003/index.m3u8?proxy=true
